in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,JOA: Marie ?
out,FALSE,FALSE,CHI: yeah ?
in,TRUE,FALSE,JOA: that's part of a tree .
in,FALSE,TRUE,CHI: no it isn't .
in,TRUE,FALSE,CHI: it's a bed .
in,FALSE,FALSE,CHI: we haven't got a bed for the children so it's a bed .
in,FALSE,TRUE,JOA: they can sleep on the couch .
out,FALSE,FALSE,CHI: &-uh huh .
out,FALSE,FALSE,JOA: here .
in,TRUE,FALSE,JOA: I'll show you something .
in,FALSE,TRUE,CHI: nope they're beds .
out,FALSE,FALSE,JOA: okay .
in,TRUE,FALSE,CHI: that's a tree .
in,FALSE,TRUE,CHI: this is a bed .
out,FALSE,FALSE,JOA: alright .
in,TRUE,FALSE,CHI: oh it willn't fit in there .
in,FALSE,TRUE,CHI: how bout they sleep in the living room ?
out,FALSE,FALSE,JOA: on the couch .
out,FALSE,FALSE,CHI: okay .
in,TRUE,FALSE,JOA: cause see this is a tree .
in,FALSE,FALSE,CHI: that one will hafta go inside somewhere .
out,FALSE,FALSE,JOA: no .
in,FALSE,FALSE,JOA: it's outside (o)kay ?
out,FALSE,FALSE,CHI: no .
in,FALSE,FALSE,CHI: I want it inside !
out,FALSE,FALSE,JOA: xxx it will hafta be .
out,FALSE,FALSE,CHI: okay .
in,FALSE,TRUE,CHI: it can be outside .
out,FALSE,FALSE,JOA: yeah .
in,TRUE,FALSE,JOA: now let's get the tree .
out,FALSE,FALSE,JOA: that's down .
out,FALSE,FALSE,JOA: there .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,TRUE,JOA: the tree's cut down .
in,TRUE,TRUE,CHI: I've got a way to set it up Joanna .
out,FALSE,FALSE,JOA: xxx .
in,TRUE,FALSE,JOA: where did the doll go ?
in,FALSE,FALSE,CHI: I don't see it anywhere .
in,FALSE,TRUE,JOA: here it is .
out,FALSE,FALSE,JOA: okay .
in,TRUE,TRUE,JOA: let's get playing now .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: one sec .
in,TRUE,TRUE,CHI: I'm gonna put this in (.) the mother's room .
in,TRUE,FALSE,JOA: okay let's pretend that it's bedtime now (o)kay ?
out,FALSE,FALSE,CHI: okay .
in,TRUE,FALSE,JOA: mother and father (.) hafta get to bed now .
in,FALSE,FALSE,JOA: get the father in .
in,FALSE,FALSE,JOA: these two little ones hafta sleep together .
out,FALSE,FALSE,CHI: how do we get these [= character and bed] ?
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOA: take the bed out and get more [?] .
out,FALSE,FALSE,CHI: okay .
in,FALSE,TRUE,CHI: they can lay that way .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: &-um (.) there .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,JOA: why don't ya just get the kids in there first ?
in,FALSE,FALSE,CHI: xxx how do I get this out ?
in,FALSE,FALSE,JOA: Marie (.) how bout we take this out and get +...
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: xxx the dresser drawer .
in,FALSE,TRUE,JOA: (o)kay now (.) take the bed out .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOA: you get it .
out,FALSE,FALSE,JOA: the dresser drawer xxx .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: xxx need another one .
in,TRUE,TRUE,JOA: what did this [= drawer from dresser] come out (.) of ?
out,FALSE,FALSE,CHI: probably that other thing .
out,FALSE,FALSE,JOA: this thing .
in,TRUE,FALSE,JOA: where is the other two ?
in,FALSE,FALSE,CHI: I don't know we lost em .
in,FALSE,TRUE,JOA: no we didn't .
out,FALSE,FALSE,JOA: here .
in,TRUE,FALSE,JOA: xxx there's (.) two drawers (.) here .
out,FALSE,FALSE,JOA: okay now (.) put this one in here .
out,FALSE,FALSE,JOA: xxx .
in,FALSE,FALSE,JOA: I'll get (.) the drawers in the right way .
out,FALSE,FALSE,CHI: yup .
out,FALSE,FALSE,JOA: &=laughs .
in,FALSE,TRUE,CHI: there ya got the drawers in .
in,TRUE,FALSE,CHI: now I'm gonna put the children .
in,FALSE,FALSE,CHI: this one to bed .
out,FALSE,FALSE,JOA: okay .
in,FALSE,TRUE,JOA: Marie (.) &-uh (.) I'm gonna get the mother and father out_of bed now .
out,FALSE,FALSE,CHI: okay .
in,TRUE,TRUE,JOA: put the bed in first then I'll get the xxx in .
in,TRUE,FALSE,JOA: the drawers fell out again .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,JOA: are they backwards ?
out,FALSE,FALSE,CHI: O .
in,FALSE,FALSE,JOA: I'll put them in again .
in,FALSE,FALSE,JOA: I'll put the dresser in right here .
in,FALSE,FALSE,CHI: that's as far as it can go Joanna .
out,FALSE,FALSE,JOA: I know that .
in,FALSE,FALSE,JOA: and get that one right there .
in,FALSE,TRUE,JOA: there now &-um (.) put the fence up .
out,FALSE,FALSE,JOA: what is that [= toy cement mixer] ?
out,FALSE,FALSE,CHI: I don't know xxx .
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,JOA: now (.) okay .
in,TRUE,TRUE,JOA: I'll get the ladder up .
in,TRUE,TRUE,JOA: now do you wanna pretend it's morning now Marie ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,JOA: I knew that was going to happen .
in,FALSE,TRUE,JOA: the tree fell .
out,FALSE,FALSE,JOA: xxx <there this> [>] damn tree .
out,FALSE,FALSE,CHI: <come on Joanna> [<] .
out,FALSE,FALSE,"JOA: +"" hey sis ."
in,TRUE,FALSE,JOA: &-um the mom and dad aren't up yet .
in,FALSE,TRUE,JOA: Marie don't do that (o)kay ?
in,TRUE,FALSE,"JOA: +"" hey sister do you wanna make breakfast for mommy and daddy ?"
in,FALSE,FALSE,"CHI: +"" yeah you make breakfast for daddy ."
in,FALSE,FALSE,"CHI: +"" I'll make breakfast for mommy ."
in,FALSE,TRUE,"JOA: no I make breakfast for mommy and you make breakfast +""/."
out,FALSE,FALSE,"JOA: +"" <for daddy> [>] ."
out,FALSE,FALSE,"CHI: +"" <no me> [<] (.) mom ."
out,FALSE,FALSE,"JOA: +"" okay ."
in,TRUE,FALSE,"CHI: +"" here you go mom ."
in,FALSE,FALSE,"CHI: +"" well I'm just getting up ."
in,FALSE,TRUE,"CHI: +"" <here you go> [/] here you go daddy ."
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,CHI: xxx ?
in,TRUE,TRUE,JOA: cause I act out a boy and you act out a girl .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: and a boy .
out,FALSE,FALSE,"JOA: +"" oh thank_you sweetie xxx ."
in,TRUE,TRUE,"JOA: +"" dya [: do you] wanna go for a walk ?"
out,FALSE,FALSE,"CHI: +"" yeah !"
out,FALSE,FALSE,"JOA: +"" okay ."
out,FALSE,FALSE,"JOA: +"" (o)kay let's go ."
in,TRUE,FALSE,"CHI: +"" okay I'm holding onto father's hand he's going to lift me up (.) and carry me ."
in,FALSE,TRUE,"JOA: +"" mommy's going to carry me ."
in,TRUE,FALSE,"JOA: +"" and anyways we hafta wait til our porridge cools off ."
out,FALSE,FALSE,"CHI: +"" yup ."
in,FALSE,FALSE,"JOA: +"" hey [/] hey where's our porridge ?"
out,FALSE,FALSE,"CHI: +"" yeh especially mine ."
in,FALSE,FALSE,"CHI: +"" I want my porridge back [/] back mommy ."
out,FALSE,FALSE,"JOA: +"" me too mommy ."
in,FALSE,TRUE,"CHI: +"" I haven't touched it ."
out,FALSE,FALSE,"JOA: +"" me neither ."
in,TRUE,FALSE,"CHI: +"" maybe there's somebody in the house ."
in,FALSE,FALSE,"CHI: +"" let's go and check in my bedroom ."
in,FALSE,FALSE,"CHI: +"" there is !"
out,FALSE,FALSE,"CHI: +"" get out get out !"
in,FALSE,FALSE,"JOA: +"" no there isn't you're just joking ."
in,FALSE,TRUE,"CHI: +"" I (.) know I am ."
in,TRUE,FALSE,"JOA: +"" let's just eat our porridge ."
in,FALSE,TRUE,"JOA: +"" mommy will make us more ."
out,FALSE,FALSE,"JOA: +"" (o)kay there's our porridge ."
out,FALSE,FALSE,"CHI: +"" yum yum yum ."
out,FALSE,FALSE,"CHI: +"" yum yum yum ."
out,FALSE,FALSE,"JOA: +"" yum yum yum ."
in,TRUE,FALSE,"JOA: +"" okay let's let mommy and daddy eat now ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,"CHI: +"" they could eat ."
in,FALSE,FALSE,"CHI: +"" I'll put daddy in my chair ."
in,FALSE,TRUE,"JOA: +"" mommy gets to sit in my chair ."
out,FALSE,FALSE,"CHI: +"" xxx daddy (.) daddy big bear ."
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,"JOA: +"" can you move the table over honey ?"
out,FALSE,FALSE,"CHI: +"" what table ?"
