in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MEL: Lindsay .
out,FALSE,FALSE,MEL: come on .
in,TRUE,FALSE,CHI: my name's not Lindsay .
in,FALSE,TRUE,MEL: I keep forgetting it .
in,TRUE,FALSE,MEL: I'm so useta calling Lindsay .
out,FALSE,FALSE,CHI: 0 [=! soft laugh] .
in,FALSE,FALSE,MEL: I don't know why .
out,FALSE,FALSE,MEL: okay .
in,FALSE,TRUE,MEL: I want this color .
in,TRUE,FALSE,CHI: here I'll have green then .
out,FALSE,FALSE,CHI: oof [>] .
out,FALSE,FALSE,MEL: <&=laughs> [<] .
in,FALSE,TRUE,MEL: what's this ?
in,TRUE,FALSE,CHI: nice moustache .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: 0 [=! slight laugh] [>] .
out,FALSE,FALSE,MEL: hey !
in,FALSE,TRUE,MEL: <what's this for> [>] ?
out,FALSE,FALSE,CHI: oops .
in,TRUE,FALSE,CHI: the mother hasta go in the box .
out,FALSE,FALSE,MEL: oop !
in,FALSE,TRUE,MEL: it's a needle !
out,FALSE,FALSE,CHI: <&=laughs> [>] .
out,FALSE,FALSE,MEL: <&=laughs> [<] .
in,TRUE,FALSE,MEL: is this a needle ?
in,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,MEL: <&=laughs> [>] .
out,FALSE,FALSE,CHI: <looks like it> [<] .
in,FALSE,FALSE,MEL: okay I'll just make it <a needle> [>] .
in,FALSE,TRUE,CHI: <I know what I'll do> [<] .
in,TRUE,FALSE,CHI: I'm making a pizza .
out,FALSE,FALSE,MEL: Pizza_Hut_or_nothing_but .
in,FALSE,FALSE,CHI: a green pizza .
out,FALSE,FALSE,MEL: what ?
out,FALSE,FALSE,CHI: a green pizza .
out,FALSE,FALSE,MEL: &=laughs .
out,FALSE,FALSE,MEL: a green pizza .
in,FALSE,FALSE,MEL: those could be the cucumbers or [>] (.) the mushroom .
out,FALSE,FALSE,CHI: <&=laughs> [<] .
in,FALSE,FALSE,CHI: what're the cucumbers on then ?
out,FALSE,FALSE,MEL: &=laughs .
in,FALSE,TRUE,CHI: mush mush patty_cake patty_cake .
in,TRUE,FALSE,MEL: three blind mice .
in,FALSE,FALSE,MEL: patty_cake patty_cake three blind mice .
in,FALSE,TRUE,MEL: went +/.
in,TRUE,FALSE,CHI: smush_smush@o .
out,FALSE,FALSE,MEL: went to xxx .
out,FALSE,FALSE,CHI: 0 [=! grunts] .
out,FALSE,FALSE,CHI: weird +/.
in,FALSE,TRUE,MEL: let's sing .
out,FALSE,FALSE,CHI: weird green +/.
in,TRUE,FALSE,MEL: sing a song of Springtime xxx [>] .
out,FALSE,FALSE,CHI: Springtime [<] .
in,FALSE,FALSE,MEL: flowers everywhere .
out,FALSE,FALSE,CHI: neeto [: needle] .
out,FALSE,FALSE,CHI: yeow !
in,FALSE,TRUE,MEL: they have a little calendar and big things .
in,TRUE,FALSE,MEL: don't they ?
in,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: snowflakes .
in,FALSE,TRUE,MEL: it's snowflakes .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,MEL: they have snowflakes .
in,FALSE,FALSE,MEL: I didn't know it was that .
out,FALSE,FALSE,CHI: xxx [>] .
in,FALSE,TRUE,MEL: want [<] to see who's filming us ?
in,TRUE,FALSE,CHI: no .
out,FALSE,FALSE,MEL: yeah .
out,FALSE,FALSE,MEL: I am .
out,FALSE,FALSE,MEL: 0 .
out,FALSE,FALSE,MEL: come on .
out,FALSE,FALSE,INV: www .
in,FALSE,TRUE,MEL: what's this for ?
out,FALSE,FALSE,MEL: click click@o .
out,FALSE,FALSE,MEL: my pizza !
out,FALSE,FALSE,CHI: pizza hat .
out,FALSE,FALSE,MEL: my pizza [>] !
in,TRUE,FALSE,CHI: <what's that> [<] ?
in,FALSE,FALSE,CHI: I wonder what this is ?
out,FALSE,FALSE,MEL: &=laughs .
in,FALSE,TRUE,MEL: why ?
in,TRUE,FALSE,MEL: where did you get it ?
out,FALSE,FALSE,CHI: mm .
out,FALSE,FALSE,MEL: &=laughs .
in,FALSE,FALSE,MEL: where did you get it ?
in,FALSE,TRUE,CHI: I made it .
out,FALSE,FALSE,MEL: oh .
out,FALSE,FALSE,MEL: my pizza !
in,TRUE,FALSE,MEL: somebody ate [!!] a piece !
in,FALSE,TRUE,CHI: I'm making a pizza ?
out,FALSE,FALSE,CHI: oo funny pizza !
out,FALSE,FALSE,MEL: <&=laughs> [<] .
out,FALSE,FALSE,CHI: neow@o neow@o neow@o .
out,FALSE,FALSE,CHI: spaghetti meatballs .
out,FALSE,FALSE,MEL: spaghetti meat (.) balls .
in,TRUE,FALSE,CHI: I'm making a pizza .
in,FALSE,FALSE,MEL: you are ?
out,FALSE,FALSE,MEL: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,FALSE,MEL: want [//] you want some ?
out,FALSE,FALSE,MEL: <&=laughs> [>] .
out,FALSE,FALSE,CHI: <&=laughs> [<] .
out,FALSE,FALSE,CHI: okay .
